session_id,department_id,title,description,type,difficulty_level,keyords,start_time,end_time
26,1,molestie,pede justo,Optional workshop,Advanced,ipsum primis in,2021-12-29T18:40:23Z,2021-12-29T19:25:23Z
27,1,turpis elementum,nisi at nibh in hac,Optional lecture,Beginner,at,2022-11-11T10:29:32Z,2022-11-11T11:14:32Z
28,3,nulla tempus,et ultrices posuere cubilia curae,Mandatory class,Advanced,eget,2021-11-29T14:27:57Z,2021-11-29T15:12:57Z
29,3,nascetur ridiculus,vel accumsan tellus nisi,Optional lecture,Beginner,justo,2022-06-04T07:30:21Z,2022-06-04T08:15:21Z
30,4,dui luctus,potenti in eleifend quam,Mandatory class,Advanced,congue elementum in,2022-10-18T13:42:47Z,2022-10-18T14:27:47Z
31,4,nunc viverra,lobortis est phasellus sit,Optional lecture,Intermedium,ut volutpat sapien arcu,2022-09-24T21:00:25Z,2022-09-24T21:45:25Z
32,3,pretium iaculis,vel pede morbi porttitor,Mandatory class,Advanced,mauris laoreet ut,2022-05-20T19:11:25Z,2022-05-20T19:56:25Z
33,3,at,dignissim vestibulum,Mandatory class,Intermedium,primis in faucibus,2022-09-26T16:43:08Z,2022-09-26T17:28:08Z
34,4,purus aliquet,in lacus curabitur,Mandatory class,Beginner,augue,2022-05-18T20:44:03Z,2022-05-18T21:29:03Z
35,4,lectus,ac consequat metus,Optional workshop,Advanced,sem mauris,2022-09-13T05:48:55Z,2022-09-13T06:33:55Z
36,2,lacus,ultrices posuere cubilia curae,Optional lecture,Advanced,aliquet maecenas,2022-07-26T10:15:16Z,2022-07-26T11:00:16Z
37,3,proin,cursus urna ut tellus nulla,Optional workshop,Beginner,sit amet,2022-03-31T04:53:03Z,2022-03-31T05:38:03Z
38,1,urna,arcu adipiscing molestie hendrerit at,Optional lecture,Beginner,turpis,2022-04-16T11:41:19Z,2022-04-16T12:26:19Z
39,2,nulla,nibh quisque,Mandatory class,Beginner,turpis,2022-01-11T21:42:24Z,2022-01-11T22:27:24Z
40,5,etiam,sed vel enim sit amet,Optional workshop,Intermedium,tincidunt nulla mollis,2021-12-03T16:56:05Z,2021-12-03T17:41:05Z
41,1,donec posuere,quis lectus suspendisse potenti in,Optional lecture,Advanced,condimentum curabitur,2022-08-11T20:28:52Z,2022-08-11T21:13:52Z
42,4,habitasse,viverra diam vitae quam suspendisse,Optional lecture,Beginner,vulputate elementum,2022-11-11T04:33:31Z,2022-11-11T05:18:31Z
43,1,mattis,aliquam non mauris morbi,Mandatory class,Advanced,turpis adipiscing,2022-01-10T21:10:43Z,2022-01-10T21:55:43Z
44,4,amet,ut erat id,Optional workshop,Advanced,id lobortis,2022-06-11T21:54:33Z,2022-06-11T22:39:33Z
45,3,vivamus,lacinia sapien quis libero,Optional lecture,Intermedium,magna ac consequat metus,2022-04-26T00:31:16Z,2022-04-26T01:16:16Z
46,1,tortor,viverra pede ac,Optional lecture,Beginner,congue vivamus,2021-11-30T03:59:16Z,2021-11-30T04:44:16Z
47,2,mus,faucibus orci luctus et,Optional lecture,Intermedium,hac habitasse,2022-01-26T07:07:19Z,2022-01-26T07:52:19Z
48,3,rhoncus sed,tristique in tempus sit,Mandatory class,Advanced,quisque porta volutpat erat,2021-12-25T16:04:24Z,2021-12-25T16:49:24Z
49,2,pulvinar nulla,ipsum integer a nibh in,Optional workshop,Advanced,sodales,2022-06-14T17:44:39Z,2022-06-14T18:29:39Z
50,3,in libero,cum sociis natoque,Optional workshop,Intermedium,iaculis diam erat,2022-10-12T18:53:32Z,2022-10-12T19:38:32Z
